LSOA11_CD,trips_per_day
E01000364,1679.00
E01000365,2763.00
E01000366,857.00
E01000367,437.00
E01000368,192.00
E01000369,481.00
E01000370,2244.00
E01000374,1062.00
E01000375,2809.00
E01000376,609.00
E01000377,578.00
E01000378,12772.00
E01000379,673.00
E01000380,459.00
E01000381,670.00
E01000382,579.00
E01000383,1825.00
E01000384,4123.00
E01000385,2118.00
E01000386,7462.00
E01000387,932.00
E01000389,7392.00
E01000390,1185.00
E01000392,6121.00
E01000393,6702.00
E01000394,1698.00
E01000395,797.00
E01000396,522.00
E01000398,1189.00
E01000399,1057.00
E01000400,1596.00
E01000401,1518.00
E01000402,469.00
E01000403,7245.00
E01000404,2144.00
E01000405,1072.00
E01000406,767.00
E01000407,1295.00
E01000408,3779.00
E01000409,1749.00
E01000410,481.00
E01000411,865.00
E01000412,1119.00
E01000413,405.00
E01000414,6261.00
E01000415,158.00
E01000416,3005.00
E01000417,5301.00
E01000418,5057.00
E01000419,444.00
E01000420,1946.00
E01000421,2138.00
E01000422,2705.00
E01000423,1166.00
E01000424,1275.00
E01000425,190.00
E01000426,3119.00
E01000427,1020.00
E01000428,7116.00
E01000429,581.00
E01000430,987.00
E01000431,303.00
E01000432,1503.00
E01000433,2086.00
E01000434,1196.00
E01000435,495.00
E01000436,1710.00
E01000439,1192.00
E01000440,737.00
E01000441,290.00
E01000442,1964.00
E01000443,1184.00
E01000444,999.00
E01000445,3354.00
E01000446,115.00
E01000447,5823.00
E01000448,2139.00
E01000449,2672.00
E01000450,2108.00
E01000451,2207.00
E01000452,1590.00
E01000454,5577.00
E01000455,2907.00
E01000456,509.00
E01000457,7363.00
E01000458,662.00
E01000459,2799.00
E01000460,1278.00
E01000461,2625.00
E01000462,7963.00
E01000463,621.00
E01000464,462.00
E01000465,2843.00
E01000466,3466.00
E01000467,2262.00
E01000469,4524.00
E01000470,3881.00
E01000472,1978.00
E01000473,2146.00
E01000474,1006.00
E01000475,4965.00
E01000476,270.00
E01000477,540.00
E01000478,270.00
E01000479,3299.00
E01000481,2036.00
E01000482,5211.00
E01000483,1397.00
E01000484,1412.00
E01000485,2003.00
E01000486,170.00
E01000487,2284.00
E01000488,2208.00
E01000489,2392.00
E01000490,2693.00
E01000491,1030.00
E01000492,982.00
E01000493,1958.00
E01000494,2389.00
E01000495,3699.00
E01000497,6205.00
E01000498,482.00
E01000499,5383.00
E01000501,1208.00
E01000502,2796.00
E01000503,1401.00
E01000504,2290.00
E01000506,1515.00
E01000507,4312.00
E01000508,3758.00
E01000510,4650.00
E01000511,1096.00
E01000512,2427.00
E01000513,1738.00
E01000514,875.00
E01000515,4170.00
E01000516,124533.00
E01000517,2702.00
E01000518,2982.00
E01000519,2476.00
E01000520,1692.00
E01000521,3859.00
E01000523,2505.00
E01000524,2788.00
E01000525,6349.00
E01000526,1932.00
E01000528,776.00
E01000530,1041.00
E01000531,1725.00
E01000532,1493.00
E01000533,5147.00
E01000534,207.00
E01000535,2261.00
E01000536,5063.00
E01000541,3376.00
E01000543,2361.00
E01000544,1437.00
E01000545,2662.00
E01000546,1037.00
E01000548,7666.00
E01000549,616.00
E01000550,13685.00
E01000551,939.00
E01000552,3297.00
E01000553,2180.00
E01000554,2180.00
E01000555,3222.00
E01000556,7338.00
E01000557,2996.00
E01000558,2159.00
E01000561,8775.00
E01000562,852.00
E01000563,1305.00
E01000564,1204.00
E01000565,980.00
E01000567,421.00
E01000568,18665.00
E01000569,614.00
E01000570,965.00
E01000571,2730.00
E01000573,170.00
E01000574,254.00
E01000575,4273.00
E01000576,2412.00
E01000577,656.00
E01000578,7798.00
E01000579,574.00
E01000580,1653.00
E01000581,3561.00
E01000583,4917.00
E01000584,210.00
E01000586,14895.00
E01000587,248.00
E01000588,84399.00
E01000589,1172.00
E01000590,575.00
E01000591,3749.00
E01000592,83823.00
E01000594,3766.00
E01000595,2237.00
E01000596,1472.00
E01000599,1151.00
E01000600,19609.00
E01000601,7912.00
E01000602,2332.00
E01000603,920.00
E01000604,1958.00
E01000605,1056.00
E01000606,1239.00
E01000608,11750.00
E01000610,1581.00
E01000611,958.00
E01000612,5100.00
E01000613,311.00
E01000615,4218.00
E01000616,2398.00
E01000617,2077.00
E01000620,5535.00
E01000621,2337.00
E01000622,239.00
E01000623,626.00
E01000624,1238.00
E01000625,3004.00
E01000626,2551.00
E01000627,3486.00
E01000628,5661.00
E01000630,2407.00
E01000631,351.00
E01000632,2158.00
E01000633,9014.00
E01000634,3159.00
E01000635,6515.00
E01000636,4462.00
E01000638,4353.00
E01000640,11856.00
E01000642,7840.00
E01000643,10823.00
E01000644,585.00
E01000645,678.00
E01000646,1199.00
E01000647,407.00
E01000648,1397.00
E01000649,2883.00
E01000650,1694.00
E01000651,1222.00
E01000652,1638.00
E01000653,2542.00
E01000654,378.00
E01000655,909.00
E01000656,1426.00
E01000657,903.00
E01000658,2173.00
